model_id,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_quality,quality_lower,quality_upper,estimate_label
gpt-5.5,0,0.9688561694652216,0.02973347203816044,0.0013400466539488735,7.031184266914957e-05,0.9632663532890359,0.8832663532890359,1.0,public-benchmark constrained estimate
gpt-5.5,1,0.9648551535992067,0.033547000906775926,0.0015181724841563124,7.967300986103147e-05,0.9626619040721675,0.8826619040721675,1.0,public-benchmark constrained estimate
gpt-5.5,2,0.96036116089903,0.037828628074767376,0.0017199306360523377,9.028039015031105e-05,0.9619821940270039,0.881982194027004,1.0,public-benchmark constrained estimate
gpt-5.5,3,0.9553191297273498,0.0426301267327328,0.0019484436851915632,0.00010229985472581484,0.9612185920476015,0.8812185920476016,1.0,public-benchmark constrained estimate
gpt-5.5,4,0.9496693674025232,0.0480074700748456,0.002207243179444952,0.00011591934318633098,0.9603616728833901,0.8803616728833902,1.0,public-benchmark constrained estimate
gpt-5.5,5,0.9433475746920262,0.05402075133308923,0.0025003221778193124,0.00013135179706526775,0.9594011958307376,0.8794011958307376,1.0,public-benchmark constrained estimate
gpt-5.5,6,0.9362850057480347,0.060733961522110406,0.0028321942472820157,0.0001488384825728813,0.9583260980558562,0.8783260980558563,1.0,public-benchmark constrained estimate
gpt-5.5,7,0.9284088005554475,0.06821458706281297,0.003207959627750357,0.00016865275398914432,0.957124507043914,0.8771245070439141,1.0,public-benchmark constrained estimate
gpt-5.5,8,0.9196425311777929,0.07653298517756987,0.0036333793287594337,0.00019110431587777675,0.9557837771913347,0.8757837771913347,1.0,public-benchmark constrained estimate
gpt-5.5,9,0.9099070060380482,0.08576149194138781,0.004114957970668882,0.00021654404989510323,0.9542905559166934,0.8742905559166935,1.0,public-benchmark constrained estimate
gpt-5.5,10,0.8991213772699435,0.0959732170243345,0.004660036225179408,0.0002453694805426224,0.9526308847457065,0.8726308847457065,1.0,public-benchmark constrained estimate
gpt-5.5,11,0.8872045937171068,0.10724048157920205,0.0052768937398135875,0.0002780309638775155,0.9507903404855019,0.870790340485502,1.0,public-benchmark constrained estimate
gpt-5.5,12,0.8740772351648677,0.1196328626982398,0.005974863442811144,0.00031503869408133935,0.9487542206785289,0.8687542206785289,1.0,public-benchmark constrained estimate
gpt-5.5,13,0.8596637505099168,0.1332148207443481,0.006764458110697443,0.00035697063503765833,0.946507775843938,0.866507775843938,1.0,public-benchmark constrained estimate
gpt-5.5,14,0.8438951025545426,0.14804290591718577,0.00765751003042956,0.00040448149784208087,0.9440364884150304,0.8640364884150304,1.0,public-benchmark constrained estimate
gpt-5.5,15,0.8267117940706734,0.16416256854014605,0.008667324488545482,0.00045831290063503817,0.9413263946555016,0.8613263946555016,1.0,public-benchmark constrained estimate
gpt-5.5,16,0.8080672135527632,0.18160463392793158,0.009808847654810264,0.000519304864494927,0.9383644411704468,0.8583644411704469,1.0,public-benchmark constrained estimate
gpt-5.5,17,0.7879311956428947,0.2003815463614109,0.011098849177137495,0.0005884088185569393,0.9351388620561402,0.8551388620561402,1.0,public-benchmark constrained estimate
gpt-5.5,18,0.7662936430859598,0.22048353516173505,0.012556119443061557,0.00066670230924359,0.9316395565945582,0.8516395565945583,1.0,public-benchmark constrained estimate
gpt-5.5,19,0.7431680086124812,0.2418749047943688,0.014201680960420461,0.0007554056327295284,0.927858441275208,0.847858441275208,1.0,public-benchmark constrained estimate
gpt-5.5,20,0.7185943925708562,0.26449069416241733,0.01605901262998128,0.0008559006367452277,0.9237897446444083,0.8437897446444084,1.0,public-benchmark constrained estimate
gpt-5.5,21,0.6926419831347361,0.2882339801143749,0.018154284783106312,0.0009697519677825852,0.9194302100622284,0.8394302100622284,0.9994302100622283,public-benchmark constrained estimate
gpt-5.5,22,0.6654105587468141,0.31297410849053825,0.020516601689723003,0.0010987310729246428,0.9147791709864905,0.8347791709864906,0.9947791709864905,public-benchmark constrained estimate
gpt-5.5,23,0.6370307944803832,0.33854611546550956,0.023178246752018825,0.0012448433020883743,0.9098384668833127,0.8298384668833128,0.9898384668833127,public-benchmark constrained estimate
gpt-5.5,24,0.6076631698328917,0.36475154794031833,0.02617492373017196,0.001410358496618023,0.9046121759124662,0.8246121759124663,0.9846121759124662,public-benchmark constrained estimate
gpt-5.5,25,0.5774953651858119,0.39136080427940967,0.029545985040761117,0.0015978454940173438,0.899106153187387,0.819106153187387,0.9791061531873869,public-benchmark constrained estimate
gpt-5.5,26,0.546738151984614,0.41811700161459286,0.03333463537459062,0.0018102110262026487,0.8933273799311517,0.8133273799311518,0.9733273799311517,public-benchmark constrained estimate
gpt-5.5,27,0.5156199157230157,0.44474124517601427,0.03758809556105265,0.002050743539917378,0.8872831477067055,0.8072831477067055,0.9672831477067054,public-benchmark constrained estimate
gpt-5.5,28,0.4843800842769844,0.47093904545036536,0.042357707750018916,0.002323162522631283,0.8809801209084602,0.8009801209084603,0.9609801209084602,public-benchmark constrained estimate
gpt-5.5,29,0.45326184801538627,0.4964075193871369,0.04769895862259228,0.00263167397488458,0.8744233373700782,0.7944233373700782,0.9544233373700781,public-benchmark constrained estimate
gpt-5.5,30,0.4225046348141883,0.5208429398778379,0.053671392578118905,0.0029810327298548972,0.8676152189325231,0.7876152189325232,0.9476152189325231,public-benchmark constrained estimate
gpt-5.5,31,0.3923368301671085,0.5439481755809261,0.060338381870225805,0.0033766123817395013,0.8605546694216912,0.7805546694216913,0.9405546694216912,public-benchmark constrained estimate
gpt-5.5,32,0.36296920551961687,0.5654395950358306,0.06776671579991526,0.0038244836446372104,0.8532363359841577,0.7732363359841578,0.9332363359841577,public-benchmark constrained estimate
gpt-5.5,33,0.334589441253186,0.5850530899246069,0.07602596680164309,0.00433150202056399,0.8456501015055083,0.7656501015055084,0.9256501015055083,public-benchmark constrained estimate
gpt-5.5,34,0.30735801686526387,0.6025489891727843,0.08518758825622978,0.004905405705722035,0.8377808622261951,0.7577808622261951,0.917780862226195,public-benchmark constrained estimate
gpt-5.5,35,0.2814056074291439,0.6177157698407996,0.09532369802636538,0.005554924703691103,0.8296086275927737,0.7496086275927737,0.9096086275927736,public-benchmark constrained estimate
gpt-5.5,36,0.2568319913875189,0.6303726023295879,0.10650550414600067,0.0062899021368924835,0.8211089608486256,0.7411089608486257,0.9011089608486256,public-benchmark constrained estimate
gpt-5.5,37,0.2337063569140404,0.6403708782508273,0.11880133608939719,0.007121428745735101,0.812253760524245,0.7322537605242451,0.892253760524245,public-benchmark constrained estimate
gpt-5.5,38,0.2120688043571053,0.6475949461528115,0.13227425796181155,0.008061991528271641,0.8030123658099927,0.7230123658099927,0.8830123658099926,public-benchmark constrained estimate
gpt-5.5,39,0.19193278644723677,0.6519623161073058,0.1469792600562769,0.00912563738918052,0.793352953009232,0.7133529530092321,0.873352953009232,public-benchmark constrained estimate
gpt-5.5,40,0.1732882059293266,0.6534235881413468,0.16296005341002137,0.010328152519305191,0.7832441754953494,0.7032441754953495,0.8632441754953494,public-benchmark constrained estimate
gpt-5.5,41,0.15610489744545752,0.6519623161073058,0.1802455284515423,0.011687257995694434,0.7726569851658349,0.692656985165835,0.8526569851658349,public-benchmark constrained estimate
gpt-5.5,42,0.14033624949008328,0.6475949461528114,0.19884598260480008,0.013222821752305148,0.761566558764231,0.681566558764231,0.8415665587642309,public-benchmark constrained estimate
gpt-5.5,43,0.12592276483513243,0.6403708782508274,0.21874927032089023,0.01495708659314999,0.7499542376325237,0.6699542376325237,0.8299542376325236,public-benchmark constrained estimate
gpt-5.5,44,0.1127954062828933,0.6303726023295879,0.23991707812079227,0.01691491326672651,0.7378093753248959,0.6578093753248959,0.8178093753248958,public-benchmark constrained estimate
gpt-5.5,45,0.10087862273005643,0.6177157698407998,0.2622815706782549,0.019124036750888904,0.7251309759097068,0.6451309759097068,0.8051309759097067,public-benchmark constrained estimate
gpt-5.5,46,0.0900929939619518,0.6025489891727843,0.2857426841026162,0.021615332762647654,0.7119289994347623,0.6319289994347623,0.7919289994347622,public-benchmark constrained estimate
gpt-5.5,47,0.08035746882220707,0.585053089924607,0.3101663511990787,0.0244230900541072,0.6982252131342682,0.6182252131342683,0.7782252131342682,public-benchmark constrained estimate
gpt-5.5,48,0.07159119944455239,0.5654395950358309,0.3353839232928268,0.027585282226789982,0.6840534805365471,0.6040534805365472,0.7640534805365471,public-benchmark constrained estimate
gpt-5.5,49,0.06371499425196536,0.5439481755809263,0.3611929996323298,0.031143830534778462,0.6694594076994742,0.5894594076994742,0.7494594076994742,public-benchmark constrained estimate
gpt-5.5,50,0.056652425307973875,0.520842939877838,0.3873597884133949,0.03514484640079327,0.6544993065179779,0.574499306517978,0.7344993065179779,public-benchmark constrained estimate
gpt-5.5,51,0.05033063259747683,0.49640751938713706,0.41362300891441606,0.039638839100970026,0.6392384871234759,0.5592384871234759,0.7192384871234758,public-benchmark constrained estimate
gpt-5.5,52,0.04468087027265022,0.47093904545036547,0.4396992140043341,0.0446808702726502,0.6237489499436847,0.5437489499436847,0.7037489499436846,public-benchmark constrained estimate
gpt-5.5,53,0.03963883910096999,0.44474124517601443,0.4652892831255387,0.0503306325974769,0.6081066060211076,0.5281066060211076,0.6881066060211075,public-benchmark constrained estimate
gpt-5.5,54,0.035144846400793295,0.41811700161459286,0.49008572667663997,0.05665242530797386,0.5923882037153099,0.5123882037153099,0.6723882037153098,public-benchmark constrained estimate
gpt-5.5,55,0.031143830534778427,0.3913608042794098,0.5137803709338464,0.06371499425196536,0.5766681734980653,0.4966681734980653,0.6566681734980653,public-benchmark constrained estimate
gpt-5.5,56,0.02758528222678991,0.3647515479403184,0.5360719703883392,0.0715911994445525,0.5610156148797913,0.48101561487979133,0.6410156148797913,public-benchmark constrained estimate
gpt-5.5,57,0.024423090054107366,0.3385461154655097,0.556673325658176,0.080357468822207,0.5454916385843182,0.46549163858431813,0.6254916385843181,public-benchmark constrained estimate
gpt-5.5,58,0.0216153327626476,0.3129741084905385,0.5753175647848621,0.09009299396195179,0.5301472446748379,0.45014724467483785,0.6101472446748378,public-benchmark constrained estimate
gpt-5.5,59,0.019124036750888807,0.2882339801143752,0.5917633604046795,0.10087862273005649,0.5150218684932624,0.43502186849326235,0.5950218684932623,public-benchmark constrained estimate
gpt-5.5,60,0.01691491326672656,0.26449069416241733,0.6057989862879629,0.11279540628289315,0.5001426681923274,0.42014266819232743,0.5801426681923274,public-benchmark constrained estimate
gpt-5.5,61,0.014957086593149982,0.2418749047943689,0.6172452437773488,0.1259227648351323,0.4855245680390459,0.4055245680390459,0.5655245680390459,public-benchmark constrained estimate
gpt-5.5,62,0.013222821752305158,0.22048353516173524,0.6259573935958764,0.1403362494900832,0.47117101729550837,0.39117101729550835,0.5511710172955083,public-benchmark constrained estimate
gpt-5.5,63,0.011687257995694367,0.20038154636141092,0.6318262981974373,0.1561048974454574,0.45707538002719783,0.3770753800271978,0.5370753800271978,public-benchmark constrained estimate
gpt-5.5,64,0.010328152519305078,0.1816046339279317,0.6347790076234366,0.17328820592932656,0.4432228388466869,0.3632228388466869,0.5232228388466869,public-benchmark constrained estimate
gpt-5.5,65,0.009125637389180596,0.164162568540146,0.6347790076234365,0.19193278644723685,0.4295926752846912,0.3495926752846912,0.5095926752846912,public-benchmark constrained estimate
gpt-5.5,66,0.008061991528271584,0.14804290591718583,0.6318262981974372,0.21206880435710537,0.4161607795010454,0.3361607795010454,0.4961607795010454,public-benchmark constrained estimate
gpt-5.5,67,0.00712142874573507,0.13321482074434798,0.6259573935958767,0.23370635691404035,0.4029022400130687,0.32290224001306866,0.4829022400130687,public-benchmark constrained estimate
gpt-5.5,68,0.006289902136892511,0.1196328626982398,0.6172452437773488,0.25683199138751894,0.3897938677979653,0.3097938677979653,0.46979386779796534,public-benchmark constrained estimate
gpt-5.5,69,0.005554924703691011,0.1072404815792023,0.6057989862879629,0.2814056074291437,0.37681651708023994,0.2968165170802399,0.45681651708023996,public-benchmark constrained estimate
gpt-5.5,70,0.004905405705722066,0.09597321702433459,0.5917633604046797,0.3073580168652637,0.3639570769728397,0.2839570769728397,0.4439570769728397,public-benchmark constrained estimate
gpt-5.5,71,0.004331502020563871,0.08576149194138794,0.5753175647848623,0.3345894412531859,0.3512100244902036,0.2712100244902036,0.4312100244902036,public-benchmark constrained estimate
gpt-5.5,72,0.0038244836446372776,0.07653298517756979,0.5566733256581762,0.36296920551961676,0.3385784513969402,0.2585784513969402,0.4185784513969402,public-benchmark constrained estimate
gpt-5.5,73,0.0033766123817393634,0.06821458706281303,0.5360719703883393,0.3923368301671083,0.3260745058521558,0.2460745058521558,0.4060745058521558,public-benchmark constrained estimate
gpt-5.5,74,0.002981032729854838,0.060733961522110524,0.5137803709338464,0.42250463481418815,0.313719224945411,0.23371922494541097,0.393719224945411,public-benchmark constrained estimate
gpt-5.5,75,0.0026316739748845075,0.05402075133308937,0.49008572667664,0.4532618480153861,0.30154177465409393,0.22154177465409391,0.38154177465409395,public-benchmark constrained estimate
gpt-5.5,76,0.002323162522631206,0.048007470074845626,0.46528928312553886,0.4843800842769843,0.28957815648939217,0.20957815648939215,0.3695781564893922,public-benchmark constrained estimate
gpt-5.5,77,0.00205074353991741,0.04263012673273281,0.4396992140043342,0.5156199157230156,0.2778694807370858,0.19786948073708577,0.3578694807370858,public-benchmark constrained estimate
gpt-5.5,78,0.0018102110262026017,0.03782862807476739,0.41362300891441617,0.5467381519846138,0.26645993964471126,0.18645993964471125,0.3464599396447113,public-benchmark constrained estimate
gpt-5.5,79,0.0015978454940173137,0.03354700090677598,0.3873597884133949,0.5774953651858118,0.2553946354069946,0.17539463540699457,0.3353946354069946,public-benchmark constrained estimate
gpt-5.5,80,0.0014103584966180804,0.029733472038160347,0.36119299963232987,0.6076631698328917,0.24471742404169763,0.16471742404169765,0.3247174240416976,public-benchmark constrained estimate
gpt-5.5,81,0.0012448433020884053,0.026340438924701504,0.33538392329282674,0.6370307944803834,0.23446892618087878,0.15446892618087876,0.3144689261808788,public-benchmark constrained estimate
gpt-5.5,82,0.0010987310729246857,0.02332435898118268,0.31016635119907876,0.6654105587468139,0.22468483096657715,0.14468483096657714,0.30468483096657717,public-benchmark constrained estimate
gpt-5.5,83,0.000969751967782595,0.020645580794865004,0.2857426841026164,0.692641983134736,0.21539458346443258,0.13539458346443256,0.2953945834644326,public-benchmark constrained estimate
gpt-5.5,84,0.0008559006367451216,0.018268136114143685,0.2622815706782551,0.7185943925708561,0.20662050459649348,0.1266205045964935,0.28662050459649346,public-benchmark constrained estimate
gpt-5.5,85,0.0007554056327294667,0.016159507633997094,0.23991707812079233,0.7431680086124811,0.19837735122619785,0.11837735122619784,0.27837735122619783,public-benchmark constrained estimate
gpt-5.5,86,0.0006667023092434832,0.014290384283906499,0.21874927032089042,0.7662936430859596,0.1906722876953038,0.11067228769530381,0.2706722876953038,public-benchmark constrained estimate
gpt-5.5,87,0.0005884088185569292,0.01263441293374823,0.19884598260480013,0.7879311956428947,0.18350521233593212,0.10350521233593211,0.2635052123359321,public-benchmark constrained estimate
gpt-5.5,88,0.0005193048644950293,0.011167953131199337,0.1802455284515424,0.8080672135527632,0.176869364961661,0.096869364961661,0.256869364961661,public-benchmark constrained estimate
gpt-5.5,89,0.0004583129006350273,0.009869839618670051,0.1629600534100215,0.8267117940706734,0.1707521340357105,0.09075213403571049,0.2507521340357105,public-benchmark constrained estimate
gpt-5.5,90,0.00040448149784211296,0.008721155891338483,0.14697926005627682,0.8438951025545426,0.16513598372452454,0.08513598372452454,0.24513598372452455,public-benchmark constrained estimate
gpt-5.5,91,0.0003569706350377011,0.007705020893233883,0.13227425796181147,0.859663750509917,0.15999942916623414,0.07999942916623413,0.23999942916623412,public-benchmark constrained estimate
gpt-5.5,92,0.00031503869408122664,0.006806390051653843,0.11880133608939725,0.8740772351648677,0.15531800054511735,0.07531800054511735,0.23531800054511737,public-benchmark constrained estimate
gpt-5.5,93,0.00027803096387757353,0.006011871173014938,0.10650550414600068,0.8872045937171068,0.15106515066220794,0.07106515066220793,0.23106515066220795,public-benchmark constrained estimate
gpt-5.5,94,0.0002453694805427675,0.0053095552231482435,0.09532369802636564,0.8991213772699433,0.14721307476599224,0.06721307476599224,0.22721307476599223,public-benchmark constrained estimate
gpt-5.5,95,0.00021654404989512877,0.004688861655826937,0.08518758825622974,0.9099070060380482,0.14373342414857512,0.06373342414857512,0.2237334241485751,public-benchmark constrained estimate
gpt-5.5,96,0.00019110431587765486,0.004140397704686216,0.0760259668016432,0.9196425311777929,0.14059790566165897,0.06059790566165897,0.220597905661659,public-benchmark constrained estimate
