model_id,display_name,provider,curve_profile,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_score,score_lower,score_upper
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,0,0.9688561694652216,0.029733472038160437,0.0013400466539488735,7.031184266914956e-05,95.27835368211167,87.27835368211167,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,1,0.9648551535992067,0.033547000906775926,0.0015181724841563124,7.967300986103147e-05,95.21605588228847,87.21605588228847,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,2,0.96036116089903,0.03782862807476737,0.0017199306360523373,9.028039015031105e-05,95.14601228709955,87.14601228709957,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,3,0.9553191297273498,0.04263012673273281,0.0019484436851915632,0.00010229985472581486,95.06733770764046,87.06733770764046,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,4,0.9496693674025232,0.0480074700748456,0.0022072431794449517,0.00011591934318633098,94.97906642967419,86.97906642967419,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,5,0.9433475746920262,0.054020751333089236,0.002500322177819312,0.00013135179706526775,94.88015036762422,86.88015036762422,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,6,0.9362850057480347,0.060733961522110406,0.0028321942472820157,0.0001488384825728813,94.7694588081653,86.7694588081653,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,7,0.9284088005554475,0.06821458706281297,0.0032079596277503563,0.00016865275398914432,94.64578022213922,86.64578022213922,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,8,0.9196425311777929,0.07653298517756987,0.003633379328759434,0.00019110431587777673,94.50782667893675,86.50782667893675,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,9,0.9099070060380482,0.08576149194138781,0.004114957970668882,0.00021654404989510326,94.3542414356403,86.3542414356403,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,10,0.8991213772699435,0.09597321702433448,0.004660036225179408,0.00024536948054262246,94.1836102820323,86.1836102820323,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,11,0.8872045937171068,0.10724048157920207,0.0052768937398135875,0.00027803096387751553,93.99447718704533,85.99447718704533,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,12,0.8740772351648677,0.1196328626982398,0.005974863442811143,0.0003150386940813393,93.78536469504517,85.78536469504519,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,13,0.8596637505099168,0.1332148207443481,0.006764458110697443,0.0003569706350376584,93.55479934320913,85.55479934320913,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,14,0.8438951025545426,0.14804290591718577,0.00765751003042956,0.00040448149784208087,93.3013420973747,85.30134209737471,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,15,0.8267117940706734,0.16416256854014605,0.008667324488545482,0.00045831290063503817,93.02362342143016,85.02362342143016,100.0
gpt-5.5,GPT-5.5,OpenAI,balanced_frontier,16,0.8080672135527632,0.18160463392793155,0.009808847654810264,0.0005193048644949271,92.72038210297777,84.72038210297777,100.0
