model_id,display_name,routing_eligible,default_display,ability_anchor,solved_ability_parameter,curve_profile,sufficient_low,sufficient_mid,sufficient_mid_high,sufficient_high,evidence_confidence,profile_confidence
gpt-5.5,GPT-5.5,True,False,0.782,0.6029079429640571,balanced_frontier,0.9576135050672705,0.8203037450925588,0.44211951275274175,0.15424474522369108,medium,low
gpt-5.4-mini,GPT-5.4 Mini,True,False,0.6559999999999999,0.3171541263252635,efficient_fast,0.8940232055766547,0.3280324412529797,0.0,0.0,low,low
claude-opus-4-8,Claude Opus 4.8,True,True,0.838,0.7501751478287932,frontier_resilient,0.9579653043641058,0.8882517982256185,0.6755392782363226,0.3802874657033109,medium,medium
claude-sonnet-5,Claude Sonnet 5,True,False,0.778,0.5939799550182703,balanced_frontier,0.9554788935293893,0.810653469424331,0.4268137104879507,0.14800385552960366,low,low
gemini-3.5-flash,Gemini 3.5 Flash,True,False,0.7859999999999999,0.6119493615513734,balanced_frontier,0.9596451639759386,0.8296716167103004,0.457798722587925,0.16089826104547839,medium,low
deepseek-v4-flash,DeepSeek V4 Flash,True,True,0.6719999999999999,0.33339868413138773,efficient_fast,0.913373885856422,0.3633127845955678,0.0,0.0,low,high
deepseek-v4-pro,DeepSeek V4 Pro,True,False,0.732,0.5014247741357529,balanced_frontier,0.9238212548309142,0.687282296609387,0.2846500810610676,0.09981058270426857,medium,high
glm-5.1,GLM 5.1,True,False,0.75,0.535266097743285,balanced_frontier,0.9376953212576794,0.7371881050531351,0.332479557090131,0.11429860495734119,medium,low
kimi-k2.6,Kimi K2.6,True,False,0.746,0.5186889477479781,coding_specialist,0.9422307833909942,0.7471762649029163,0.328766069295487,0.07052073190673756,medium,low
qwen3.5-flash,Qwen 3.5 Flash,True,False,0.62,0.2853970289929326,efficient_fast,0.8489110087209144,0.26613411276273974,0.0,0.0,medium,low
qwen3.6-plus,Qwen 3.6 Plus,True,False,0.742,0.5198384471543831,balanced_frontier,0.9317473093401957,0.7150771466318007,0.3100042914659642,0.10730064995059502,medium,low
qwen3.7-max,Qwen 3.7 Max,True,False,0.762,0.5522710614607833,coding_specialist,0.9530518024563952,0.7958714342947167,0.3813682768545961,0.08503666832585827,low,low
minimax-m3,MiniMax M3,False,False,0.764,0.5637420461488398,balanced_frontier,0.947198709803343,0.7749798877375116,0.37666505081260704,0.1291455789173707,medium,low
gpt-5.6-sol,GPT-5.6 Sol,True,True,0.8420000000000001,0.759664839738035,frontier_resilient,0.959206709866638,0.8932909051908762,0.6883462622036792,0.3925504348945394,low,medium
gpt-5.6-terra,GPT-5.6 Terra,True,True,0.812,0.6727914978033782,balanced_frontier,0.9704336455672251,0.8826330300081707,0.5654222536725201,0.21518988184542204,low,medium
gpt-5.6-luna,GPT-5.6 Luna,True,False,0.792,0.6330257052523451,efficient_fast,1.0,0.9289424844844617,0.402231294647791,0.01138960308365651,low,low
glm-5.2,GLM 5.2,True,True,0.775,0.5873636486848062,balanced_frontier,0.9538102488561416,0.8032432662800806,0.41560199859398517,0.14358328292734096,low,medium
kimi-k2.7-code,Kimi K2.7 Code,True,True,0.776,0.5839101949915135,coding_specialist,0.9610651235526767,0.8357220147344683,0.43598320746351266,0.10216581054680302,low,medium
