language_model,default_id,sdk_version,metadata_agent_version,scores_swebench_agent_version,release_date,swebench_aggregate_score,scores_json_swebench_score,swebench_aggregate_average_cost,scores_json_swebench_average_cost,swebench_instance_count,resolved_true_count,resolved_false_count,resolved_null_count,resolved_rate,resolved_null_rate,cost_non_null_count,cost_missing_count,cost_missing_rate,cost_zero_count,cost_negative_count,cost_mean,cost_median,cost_p25,cost_p75,cost_p95,swebench_verified_join_count,swebench_verified_join_rate,verified_set_coverage_rate,per_instance_score_percent,aggregate_score_delta_pp,aggregate_score_consistent_with_instances,scores_json_score_delta_pp,recommended_anchor
claude-fable-5,OpenHands/claude-fable-5,v1.18.1,v1.18.1,v1.28.0,2026-06-09,95.8,95.8,1.43,1.43,500,479,21,0,0.958,0.0,500,0,0.0,0,0,1.431896,1.136809,0.74957,1.762608,3.465613,500,1.0,1.0,95.8,0.0,True,0.0,True
claude-opus-4-8,OpenHands/claude-opus-4-8,v1.18.1,v1.18.1,v1.24.0,2026-05-28,83.8,83.8,0.75,0.75,500,419,81,0,0.838,0.0,500,0,0.0,0,0,0.741782,0.387703,0.230809,0.939051,2.335208,500,1.0,1.0,83.8,0.0,True,0.0,False
claude-opus-4-7,OpenHands/claude-opus-4-7,v1.11.0,v1.11.0,v1.24.0,2026-04-16,81.6,81.6,1.33,1.33,500,408,92,0,0.816,0.0,500,0,0.0,0,0,1.274306,0.698625,0.374525,1.475006,4.435931,500,1.0,1.0,81.6,0.0,True,0.0,False
Gemini-3.5-Flash,OpenHands/Gemini-3.5-Flash,v1.24.0,v1.24.0,v1.28.0,2026-05-19,78.6,78.6,1.53,1.53,500,393,107,0,0.786,0.0,498,2,0.004,0,0,1.565151,1.140588,0.849901,1.683419,3.296106,500,1.0,1.0,78.6,0.0,True,0.0,False
GPT-5.5,OpenHands/GPT-5.5,v1.18.1,v1.18.1,v1.18.1,2026-04-23,78.2,78.2,1.52,1.52,500,391,109,0,0.782,0.0,500,0,0.0,0,0,1.508292,1.359695,1.060814,1.775829,2.657304,500,1.0,1.0,78.2,0.0,True,0.0,False
Gemini-3.1-Pro,OpenHands/Gemini-3.1-Pro,v1.11.5,v1.11.5,v1.27.0,2026-01-15,76.8,76.8,1.87,1.87,500,385,115,0,0.77,0.0,499,1,0.002,0,0,1.899574,1.583588,1.043312,2.389868,4.163452,500,1.0,1.0,77.0,-0.2,False,-0.2,False
claude-opus-4-6,OpenHands/claude-opus-4-6,v1.11.0,v1.11.0,v1.15.0,2026-02-05,76.8,76.8,0.77,0.77,500,384,116,0,0.768,0.0,500,0,0.0,0,0,0.77195,0.384881,0.206006,0.829629,2.928263,500,1.0,1.0,76.8,0.0,True,0.0,False
claude-opus-4-5,OpenHands/claude-opus-4-5,v1.8.3,v1.8.3,v1.8.3,2025-11-24,76.6,76.6,1.82,1.82,500,383,117,0,0.766,0.0,500,0,0.0,0,0,1.795308,1.429438,0.98784,2.118781,4.057515,500,1.0,1.0,76.6,0.0,True,0.0,False
MiniMax-M3,OpenHands/MiniMax-M3,v1.18.1,v1.18.1,v1.24.0,2026-06-01,76.4,76.4,0.17,0.17,500,382,118,0,0.764,0.0,500,0,0.0,0,0,0.153509,0.11247,0.069794,0.207442,0.378269,500,1.0,1.0,76.4,0.0,True,0.0,True
Minimax-2.7,OpenHands/MiniMax-M2.7,v1.14.0,v1.14.0,v1.14.0,2026-03-18,75.6,75.6,0.1795,0.1795,500,378,122,0,0.756,0.0,500,0,0.0,0,0,0.1795,0.122362,0.079811,0.201097,0.474636,500,1.0,1.0,75.6,0.0,True,0.0,True
GPT-5.4,OpenHands/GPT-5.4,v1.13.0,v1.13.0,v1.18.1,2026-03-05,75.6,75.6,0.63,0.63,500,378,122,0,0.756,0.0,500,0,0.0,0,0,0.631618,0.573149,0.433317,0.753062,1.150449,500,1.0,1.0,75.6,0.0,True,0.0,False
GLM-5.1,OpenHands/GLM-5.1,v1.11.5,v1.11.5,v1.17.0,2026-04-07,75.0,75.0,1.54,1.54,500,375,125,0,0.75,0.0,498,2,0.004,0,0,1.538904,1.065203,0.515277,2.047431,4.653798,500,1.0,1.0,75.0,0.0,True,0.0,False
Gemini-3-Flash,OpenHands/Gemini-3-Flash,v1.8.3,v1.8.3,v1.8.3,2025-12-22,74.6,74.6,0.42,0.42,500,373,127,0,0.746,0.0,500,0,0.0,0,0,0.413713,0.30475,0.218375,0.445906,0.875908,500,1.0,1.0,74.6,0.0,True,0.0,False
Kimi-K2.6,OpenHands/Kimi-K2.6,v1.11.5,v1.11.5,v1.18.1,2026-04-20,74.6,74.6,0.67,0.67,500,373,127,0,0.746,0.0,500,0,0.0,0,0,0.662468,0.475047,0.32991,0.789777,1.708463,500,1.0,1.0,74.6,0.0,True,0.0,False
