model_a,model_b,model_a_instance_count,model_b_instance_count,common_instance_count,overlap_over_smaller_set,jaccard
DeepSeek-V3.2-Reasoner,DeepSeek-V4-Pro,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GLM-4.7,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GLM-5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GLM-5.1,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GPT-5.2,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GPT-5.2-Codex,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GPT-5.4,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,GPT-5.5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Gemini-3-Flash,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Gemini-3-Pro,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Gemini-3.1-Pro,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Gemini-3.5-Flash,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Kimi-K2-Thinking,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Kimi-K2.5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Kimi-K2.6,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,MiniMax-M2.1,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,MiniMax-M2.5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,MiniMax-M3,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Minimax-2.7,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Nemotron-3-Nano,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Nemotron-3-Super,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Qwen3-Coder-480B,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Qwen3-Coder-Next,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Qwen3.5-Flash,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Qwen3.6-Plus,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,Trinity-Large-Thinking,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-fable-5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-opus-4-5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-opus-4-6,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-opus-4-7,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-opus-4-8,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-sonnet-4-5,500,500,500,1.0,1.0
DeepSeek-V3.2-Reasoner,claude-sonnet-4-6,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GLM-4.7,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GLM-5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GLM-5.1,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GPT-5.2,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GPT-5.2-Codex,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GPT-5.4,500,500,500,1.0,1.0
DeepSeek-V4-Pro,GPT-5.5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Gemini-3-Flash,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Gemini-3-Pro,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Gemini-3.1-Pro,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Gemini-3.5-Flash,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Kimi-K2-Thinking,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Kimi-K2.5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Kimi-K2.6,500,500,500,1.0,1.0
DeepSeek-V4-Pro,MiniMax-M2.1,500,500,500,1.0,1.0
DeepSeek-V4-Pro,MiniMax-M2.5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,MiniMax-M3,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Minimax-2.7,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Nemotron-3-Nano,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Nemotron-3-Super,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Qwen3-Coder-480B,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Qwen3-Coder-Next,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Qwen3.5-Flash,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Qwen3.6-Plus,500,500,500,1.0,1.0
DeepSeek-V4-Pro,Trinity-Large-Thinking,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-fable-5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-opus-4-5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-opus-4-6,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-opus-4-7,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-opus-4-8,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-sonnet-4-5,500,500,500,1.0,1.0
DeepSeek-V4-Pro,claude-sonnet-4-6,500,500,500,1.0,1.0
GLM-4.7,GLM-5,500,500,500,1.0,1.0
GLM-4.7,GLM-5.1,500,500,500,1.0,1.0
GLM-4.7,GPT-5.2,500,500,500,1.0,1.0
GLM-4.7,GPT-5.2-Codex,500,500,500,1.0,1.0
GLM-4.7,GPT-5.4,500,500,500,1.0,1.0
GLM-4.7,GPT-5.5,500,500,500,1.0,1.0
GLM-4.7,Gemini-3-Flash,500,500,500,1.0,1.0
GLM-4.7,Gemini-3-Pro,500,500,500,1.0,1.0
GLM-4.7,Gemini-3.1-Pro,500,500,500,1.0,1.0
GLM-4.7,Gemini-3.5-Flash,500,500,500,1.0,1.0
GLM-4.7,Kimi-K2-Thinking,500,500,500,1.0,1.0
GLM-4.7,Kimi-K2.5,500,500,500,1.0,1.0
GLM-4.7,Kimi-K2.6,500,500,500,1.0,1.0
GLM-4.7,MiniMax-M2.1,500,500,500,1.0,1.0
GLM-4.7,MiniMax-M2.5,500,500,500,1.0,1.0
GLM-4.7,MiniMax-M3,500,500,500,1.0,1.0
GLM-4.7,Minimax-2.7,500,500,500,1.0,1.0
GLM-4.7,Nemotron-3-Nano,500,500,500,1.0,1.0
GLM-4.7,Nemotron-3-Super,500,500,500,1.0,1.0
GLM-4.7,Qwen3-Coder-480B,500,500,500,1.0,1.0
GLM-4.7,Qwen3-Coder-Next,500,500,500,1.0,1.0
GLM-4.7,Qwen3.5-Flash,500,500,500,1.0,1.0
GLM-4.7,Qwen3.6-Plus,500,500,500,1.0,1.0
GLM-4.7,Trinity-Large-Thinking,500,500,500,1.0,1.0
GLM-4.7,claude-fable-5,500,500,500,1.0,1.0
GLM-4.7,claude-opus-4-5,500,500,500,1.0,1.0
GLM-4.7,claude-opus-4-6,500,500,500,1.0,1.0
GLM-4.7,claude-opus-4-7,500,500,500,1.0,1.0
GLM-4.7,claude-opus-4-8,500,500,500,1.0,1.0
GLM-4.7,claude-sonnet-4-5,500,500,500,1.0,1.0
GLM-4.7,claude-sonnet-4-6,500,500,500,1.0,1.0
GLM-5,GLM-5.1,500,500,500,1.0,1.0
GLM-5,GPT-5.2,500,500,500,1.0,1.0
