language_model,difficulty_bin,total_question_count,valid_result_count,resolved_null_count,success_count,failure_count,success_rate,wilson_95_low,wilson_95_high,analysis_definition,representative_model
claude-fable-5,Easy,167,167,0,161,6,0.9640718562874252,0.9238422456604652,0.9834316740891872,null_as_not_success,False
claude-fable-5,Medium,166,166,0,161,5,0.9698795180722891,0.9314365374192567,0.9870671134749168,null_as_not_success,False
claude-fable-5,Hard,167,167,0,157,10,0.9401197604790419,0.8932944484006284,0.967152430329687,null_as_not_success,False
claude-opus-4-5,Easy,167,167,0,127,40,0.7604790419161677,0.6903565176086636,0.8188875534766252,null_as_not_success,False
claude-opus-4-5,Medium,166,166,0,133,33,0.8012048192771084,0.7339861174485321,0.854798274150297,null_as_not_success,False
claude-opus-4-5,Hard,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
claude-opus-4-6,Easy,167,167,0,125,42,0.7485029940119761,0.6776156776763093,0.8082148728993112,null_as_not_success,False
claude-opus-4-6,Medium,166,166,0,136,30,0.8192771084337349,0.7537375981183805,0.8703738569763784,null_as_not_success,False
claude-opus-4-6,Hard,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
claude-opus-4-7,Easy,167,167,0,138,29,0.8263473053892215,0.7617339008680021,0.876284533020463,null_as_not_success,False
claude-opus-4-7,Medium,166,166,0,137,29,0.8253012048192772,0.7603660996554632,0.8755210432712724,null_as_not_success,False
claude-opus-4-7,Hard,167,167,0,133,34,0.7964071856287425,0.7289946002578004,0.8504900323564936,null_as_not_success,False
claude-opus-4-8,Easy,167,167,0,142,25,0.8502994011976048,0.7883465789437719,0.8964988959640304,null_as_not_success,True
claude-opus-4-8,Medium,166,166,0,142,24,0.8554216867469879,0.7938860298325976,0.9008795522540207,null_as_not_success,True
claude-opus-4-8,Hard,167,167,0,135,32,0.8083832335329342,0.7420261477827131,0.8608720053412496,null_as_not_success,True
claude-sonnet-4-5,Easy,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,False
claude-sonnet-4-5,Medium,166,166,0,130,36,0.7831325301204819,0.7144202040765941,0.8390371240263053,null_as_not_success,False
claude-sonnet-4-5,Hard,167,167,0,119,48,0.7125748502994012,0.6397644897808027,0.7758254992658121,null_as_not_success,False
claude-sonnet-4-6,Easy,167,167,0,124,43,0.7425149700598802,0.6712693164739519,0.8028544738468341,null_as_not_success,False
claude-sonnet-4-6,Medium,166,166,0,133,33,0.8012048192771084,0.7339861174485321,0.854798274150297,null_as_not_success,False
claude-sonnet-4-6,Hard,167,167,0,115,52,0.688622754491018,0.6148159212291527,0.7539470267981253,null_as_not_success,False
DeepSeek-V3.2-Reasoner,Easy,167,165,2,112,55,0.6706586826347305,0.596243518406001,0.7373991488567743,null_as_not_success,False
DeepSeek-V3.2-Reasoner,Medium,166,166,0,131,35,0.7891566265060241,0.7209226507090565,0.8443103652258197,null_as_not_success,False
DeepSeek-V3.2-Reasoner,Hard,167,166,1,115,52,0.688622754491018,0.6148159212291527,0.7539470267981253,null_as_not_success,False
DeepSeek-V4-Pro,Easy,167,167,0,118,49,0.7065868263473054,0.6335068419504756,0.7703763868413053,null_as_not_success,True
DeepSeek-V4-Pro,Medium,166,166,0,129,37,0.7771084337349398,0.7079365128194199,0.8337451274515029,null_as_not_success,True
