scope,language_model,null_record_count,primary_score_failure_spearman,sensitivity_score_failure_spearman,spearman_delta,primary_conclusion,sensitivity_conclusion,conclusion_changed
aggregate,ALL_MODELS,9,0.005112642486989214,0.0024493575979388045,-0.00266328488905041,not_support,not_support,False
model,claude-fable-5,0,,,,,,
model,claude-opus-4-5,0,,,,,,
model,claude-opus-4-6,0,,,,,,
model,claude-opus-4-7,0,,,,,,
model,claude-opus-4-8,0,,,,,,
model,claude-sonnet-4-5,0,,,,,,
model,claude-sonnet-4-6,0,,,,,,
model,DeepSeek-V3.2-Reasoner,3,,,,,,
model,DeepSeek-V4-Pro,0,,,,,,
model,Gemini-3-Flash,0,,,,,,
model,Gemini-3-Pro,0,,,,,,
model,Gemini-3.1-Pro,0,,,,,,
model,Gemini-3.5-Flash,0,,,,,,
model,GLM-4.7,0,,,,,,
model,GLM-5,0,,,,,,
model,GLM-5.1,0,,,,,,
model,GPT-5.2,0,,,,,,
model,GPT-5.2-Codex,0,,,,,,
model,GPT-5.4,0,,,,,,
model,GPT-5.5,0,,,,,,
model,Kimi-K2-Thinking,2,,,,,,
model,Kimi-K2.5,1,,,,,,
model,Kimi-K2.6,0,,,,,,
model,Minimax-2.7,0,,,,,,
model,MiniMax-M2.1,0,,,,,,
model,MiniMax-M2.5,0,,,,,,
model,MiniMax-M3,0,,,,,,
model,Nemotron-3-Nano,3,,,,,,
model,Nemotron-3-Super,0,,,,,,
model,Qwen3-Coder-480B,0,,,,,,
model,Qwen3-Coder-Next,0,,,,,,
model,Qwen3.5-Flash,0,,,,,,
model,Qwen3.6-Plus,0,,,,,,
model,Trinity-Large-Thinking,0,,,,,,
