language_model,question_count,valid_result_count,resolved_null_count,easy_success_rate,medium_success_rate,hard_success_rate,easy_to_hard_drop_pp,monotonic_easy_ge_medium_ge_hard,difficulty_success_spearman,difficulty_failure_spearman,difficulty_failure_roc_auc,analysis_definition,representative_model
claude-fable-5,500,500,0,0.9520958083832335,0.9819277108433735,0.9401197604790419,1.19760479041916,False,-0.0325450373631364,0.0325450373631364,0.5468237399343872,null_as_not_success,False
claude-opus-4-5,500,500,0,0.7604790419161677,0.7831325301204819,0.7544910179640718,0.5988023952095856,False,-0.025224443672571498,0.025224443672571498,0.5171944388654571,null_as_not_success,False
claude-opus-4-6,500,500,0,0.7664670658682635,0.7951807228915663,0.7425149700598802,2.395209580838331,False,-0.03664467372669276,0.03664467372669276,0.5250538793103449,null_as_not_success,False
claude-opus-4-7,500,500,0,0.8203592814371258,0.8433734939759037,0.7844311377245509,3.592814371257491,False,-0.05671311770919509,0.05671311770919509,0.5422394501278773,null_as_not_success,False
claude-opus-4-8,500,500,0,0.8263473053892215,0.8554216867469879,0.8323353293413174,-0.5988023952095856,False,-0.023774359677449557,0.023774359677449557,0.518621644715519,null_as_not_success,True
claude-sonnet-4-5,500,500,0,0.7125748502994012,0.7590361445783133,0.7544910179640718,-4.191616766467066,False,0.016615176305442687,-0.016615176305442687,0.48904072379280805,null_as_not_success,False
claude-sonnet-4-6,500,500,0,0.7425149700598802,0.7831325301204819,0.7065868263473054,3.59281437125748,False,-0.06998063380234763,0.06998063380234763,0.5462764616935485,null_as_not_success,False
DeepSeek-V3.2-Reasoner,500,500,3,0.7005988023952096,0.7168674698795181,0.7305389221556886,-2.9940119760479056,False,0.011157379648739965,-0.011157379648739965,0.4928593909827681,null_as_not_success,False
DeepSeek-V4-Pro,500,500,0,0.7425149700598802,0.7469879518072289,0.7065868263473054,3.59281437125748,False,-0.05740715779078588,0.05740715779078588,0.5374051871788599,null_as_not_success,True
Gemini-3-Flash,500,500,0,0.7065868263473054,0.7771084337349398,0.7544910179640718,-4.79041916167664,False,0.026284642386001866,-0.026284642386001866,0.48257372654155495,null_as_not_success,False
Gemini-3-Pro,500,500,0,0.7005988023952096,0.7289156626506024,0.688622754491018,1.19760479041916,False,-0.04297181603640628,0.04297181603640628,0.5272205199360197,null_as_not_success,False
Gemini-3.1-Pro,500,500,0,0.7604790419161677,0.8072289156626506,0.7425149700598802,1.7964071856287456,False,-0.03762861168396918,0.03762861168396918,0.5258046301524563,null_as_not_success,False
Gemini-3.5-Flash,500,500,0,0.7604790419161677,0.8313253012048193,0.7664670658682635,-0.5988023952095856,False,-0.014092536306264674,0.014092536306264674,0.5099165299279446,null_as_not_success,True
GLM-4.7,500,500,0,0.718562874251497,0.7771084337349398,0.7065868263473054,1.19760479041916,False,-0.02841911938742163,0.02841911938742163,0.5185613898506484,null_as_not_success,False
GLM-5,500,500,0,0.7125748502994012,0.7590361445783133,0.7305389221556886,-1.7964071856287456,False,0.0007841920360767558,-0.0007841920360767558,0.4994878203683596,null_as_not_success,False
GLM-5.1,500,500,0,0.7485029940119761,0.7590361445783133,0.7425149700598802,0.5988023952095856,False,-0.012915587621918845,0.012915587621918845,0.508608,null_as_not_success,True
GPT-5.2,500,500,0,0.7305389221556886,0.7771084337349398,0.7305389221556886,0.0,False,-0.037174221666453275,0.037174221666453275,0.5246458803909565,null_as_not_success,False
GPT-5.2-Codex,500,500,0,0.7245508982035929,0.7590361445783133,0.7305389221556886,-0.5988023952095745,False,-0.038328869976680904,0.038328869976680904,0.5251556714040423,null_as_not_success,False
