context_id,benchmark,scenario,instance_id,step_index,total_steps,leakage_group_id,task_signature,near_duplicate_simhash,split,cv_fold,lobo_holdout_benchmark,analysis_scope,label_confidence,random_seed
swebench_django__django-11163_step_1,swebench,code_swe,django__django-11163,1,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_2,swebench,code_swe,django__django-11163,2,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_3,swebench,code_swe,django__django-11163,3,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_4,swebench,code_swe,django__django-11163,4,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_5,swebench,code_swe,django__django-11163,5,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_6,swebench,code_swe,django__django-11163,6,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_7,swebench,code_swe,django__django-11163,7,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_8,swebench,code_swe,django__django-11163,8,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11163_step_9,swebench,code_swe,django__django-11163,9,9,lg_683cd87451f940c4,faba0a8697f463f772d34a022a119a15698813068eeea87a4af754adad0c0950,b9efd2dd7bb30a6f,train,2,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11133_step_1,swebench,code_swe,django__django-11133,1,8,lg_77158b3679d0ad7a,85709a63c92fd6a717e8bbaebf150d8b8bb12f96624d9a9a4c7c80ecddd7e289,a2f5f9a31a74bff6,train,3,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11133_step_2,swebench,code_swe,django__django-11133,2,8,lg_77158b3679d0ad7a,85709a63c92fd6a717e8bbaebf150d8b8bb12f96624d9a9a4c7c80ecddd7e289,a2f5f9a31a74bff6,train,3,swebench,sensitivity_only,weak_degradation_search,20260726
swebench_django__django-11133_step_3,swebench,code_swe,django__django-11133,3,8,lg_77158b3679d0ad7a,85709a63c92fd6a717e8bbaebf150d8b8bb12f96624d9a9a4c7c80ecddd7e289,a2f5f9a31a74bff6,train,3,swebench,sensitivity_only,weak_degradation_search,20260726
