context_id,benchmark,scenario,instance_id,step_index,quality_threshold,target_tier,target_tier_id,oracle_difficulty,selected_tier,selected_model_id,predicted_sufficiency,conservative_quality,current_call_cost,expected_total_cost,always_high_cost,expected_savings_vs_always_high,fallback_tier,decision_reason,alternatives_json,oracle_only,analysis_scope
swebench_django__django-11163_step_1,swebench,code_swe,django__django-11163,1,0.8,low,0,0.0,low,demo-economy,1.0,1.0,0.0002213,0.0002313,0.0105196,0.0102883,mid,selected the lowest expected-total-cost tier among 4 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0002213,""eligible"":true,""expected_total_cost"":0.0002313,""model_id"":""demo-economy"",""predicted_sufficiency"":1.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.00090055,""eligible"":true,""expected_total_cost"":0.00091055,""model_id"":""demo-value"",""predicted_sufficiency"":1.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0032503000000000002,""eligible"":true,""expected_total_cost"":0.0032603000000000003,""model_id"":""demo-premium"",""predicted_sufficiency"":1.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.010509600000000001,""eligible"":true,""expected_total_cost"":0.0105196,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_2,swebench,code_swe,django__django-11163,2,0.8,mid,1,0.3333333333333333,mid,demo-value,1.0,1.0,0.0009282,0.0009382,0.010772400000000001,0.009834200000000001,mid_high,selected the lowest expected-total-cost tier among 3 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.00022920000000000001,""eligible"":false,""expected_total_cost"":0.021217399999999997,""model_id"":""demo-economy"",""predicted_sufficiency"":0.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0009282,""eligible"":true,""expected_total_cost"":0.0009382,""model_id"":""demo-value"",""predicted_sufficiency"":1.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0033372,""eligible"":true,""expected_total_cost"":0.0033472,""model_id"":""demo-premium"",""predicted_sufficiency"":1.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.010762400000000002,""eligible"":true,""expected_total_cost"":0.010772400000000001,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_3,swebench,code_swe,django__django-11163,3,0.8,high,3,1.0,high,demo-frontier,1.0,1.0,0.011450400000000001,0.0114604,0.0114604,0.0,,selected the lowest expected-total-cost tier among 1 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0002507,""eligible"":false,""expected_total_cost"":0.02131415,""model_id"":""demo-economy"",""predicted_sufficiency"":0.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0010034500000000001,""eligible"":false,""expected_total_cost"":0.02466715,""model_id"":""demo-value"",""predicted_sufficiency"":0.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0035737,""eligible"":false,""expected_total_cost"":0.0351541,""model_id"":""demo-premium"",""predicted_sufficiency"":0.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.011450400000000001,""eligible"":true,""expected_total_cost"":0.0114604,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_4,swebench,code_swe,django__django-11163,4,0.8,high,3,1.0,high,demo-frontier,1.0,1.0,0.012394400000000002,0.012404400000000001,0.012404400000000001,0.0,,selected the lowest expected-total-cost tier among 1 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.00028020000000000003,""eligible"":false,""expected_total_cost"":0.0214469,""model_id"":""demo-economy"",""predicted_sufficiency"":0.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0011067,""eligible"":false,""expected_total_cost"":0.025094900000000003,""model_id"":""demo-value"",""predicted_sufficiency"":0.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0038982,""eligible"":false,""expected_total_cost"":0.0364226,""model_id"":""demo-premium"",""predicted_sufficiency"":0.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.012394400000000002,""eligible"":true,""expected_total_cost"":0.012404400000000001,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_5,swebench,code_swe,django__django-11163,5,0.8,high,3,1.0,high,demo-frontier,1.0,1.0,0.013258400000000002,0.013268400000000001,0.013268400000000001,0.0,,selected the lowest expected-total-cost tier among 1 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.00030720000000000004,""eligible"":false,""expected_total_cost"":0.0215684,""model_id"":""demo-economy"",""predicted_sufficiency"":0.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0012012000000000001,""eligible"":false,""expected_total_cost"":0.0254864,""model_id"":""demo-value"",""predicted_sufficiency"":0.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0041952000000000005,""eligible"":false,""expected_total_cost"":0.0375836,""model_id"":""demo-premium"",""predicted_sufficiency"":0.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.013258400000000002,""eligible"":true,""expected_total_cost"":0.013268400000000001,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_6,swebench,code_swe,django__django-11163,6,0.8,high,3,1.0,high,demo-frontier,1.0,1.0,0.013879200000000001,0.0138892,0.0138892,0.0,,selected the lowest expected-total-cost tier among 1 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0003266,""eligible"":false,""expected_total_cost"":0.0216557,""model_id"":""demo-economy"",""predicted_sufficiency"":0.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0012691,""eligible"":false,""expected_total_cost"":0.025767699999999998,""model_id"":""demo-value"",""predicted_sufficiency"":0.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0044086,""eligible"":false,""expected_total_cost"":0.0384178,""model_id"":""demo-premium"",""predicted_sufficiency"":0.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.013879200000000001,""eligible"":true,""expected_total_cost"":0.0138892,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_7,swebench,code_swe,django__django-11163,7,0.8,mid,1,0.3333333333333333,mid,demo-value,1.0,1.0,0.00134015,0.00135015,0.0145388,0.01318865,mid_high,selected the lowest expected-total-cost tier among 3 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":0.0,""current_call_cost"":0.0003469,""eligible"":false,""expected_total_cost"":0.02174705,""model_id"":""demo-economy"",""predicted_sufficiency"":0.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.00134015,""eligible"":true,""expected_total_cost"":0.00135015,""model_id"":""demo-value"",""predicted_sufficiency"":1.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0046318999999999996,""eligible"":true,""expected_total_cost"":0.004641899999999999,""model_id"":""demo-premium"",""predicted_sufficiency"":1.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0145288,""eligible"":true,""expected_total_cost"":0.0145388,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_8,swebench,code_swe,django__django-11163,8,0.8,low,0,0.0,low,demo-economy,1.0,1.0,0.0003543,0.0003643,0.0147756,0.0144113,mid,selected the lowest expected-total-cost tier among 4 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0003543,""eligible"":true,""expected_total_cost"":0.0003643,""model_id"":""demo-economy"",""predicted_sufficiency"":1.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.00136605,""eligible"":true,""expected_total_cost"":0.00137605,""model_id"":""demo-value"",""predicted_sufficiency"":1.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0047133,""eligible"":true,""expected_total_cost"":0.0047233,""model_id"":""demo-premium"",""predicted_sufficiency"":1.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0147656,""eligible"":true,""expected_total_cost"":0.0147756,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11163_step_9,swebench,code_swe,django__django-11163,9,0.8,low,0,0.0,low,demo-economy,1.0,1.0,0.0003751,0.00038510000000000004,0.0154412,0.015056100000000001,mid,selected the lowest expected-total-cost tier among 4 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0003751,""eligible"":true,""expected_total_cost"":0.00038510000000000004,""model_id"":""demo-economy"",""predicted_sufficiency"":1.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.00143885,""eligible"":true,""expected_total_cost"":0.00144885,""model_id"":""demo-value"",""predicted_sufficiency"":1.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0049421000000000005,""eligible"":true,""expected_total_cost"":0.0049521,""model_id"":""demo-premium"",""predicted_sufficiency"":1.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0154312,""eligible"":true,""expected_total_cost"":0.0154412,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
swebench_django__django-11133_step_1,swebench,code_swe,django__django-11133,1,0.8,low,0,0.0,low,demo-economy,1.0,1.0,0.0002335,0.0002435,0.01091,0.010666499999999999,mid,selected the lowest expected-total-cost tier among 4 tiers meeting conservative quality >= 0.80,"[{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0002335,""eligible"":true,""expected_total_cost"":0.0002435,""model_id"":""demo-economy"",""predicted_sufficiency"":1.0,""tier"":""low""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.00094325,""eligible"":true,""expected_total_cost"":0.00095325,""model_id"":""demo-value"",""predicted_sufficiency"":1.0,""tier"":""mid""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0033845,""eligible"":true,""expected_total_cost"":0.0033945,""model_id"":""demo-premium"",""predicted_sufficiency"":1.0,""tier"":""mid_high""},{""applied_uncertainty_penalty"":0.0,""conservative_quality"":1.0,""current_call_cost"":0.0109,""eligible"":true,""expected_total_cost"":0.01091,""model_id"":""demo-frontier"",""predicted_sufficiency"":1.0,""tier"":""high""}]",True,sensitivity_only
