context_id,instance_id,step_index,recommended_tier,applied_tier,previous_tier,transition,sticky_override,benchmark,scenario,quality_threshold,target_tier,target_tier_id,first_pass_sufficient,applied_call_cost,always_high_cost,theoretical_savings_vs_always_high,oracle_only
mtrag_0208bf26ec357a803445290fa88a2e9e_turn_5_step_1,0208bf26ec357a803445290fa88a2e9e_turn_5,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.00024009999999999998,0.0108012,0.0105611,True
mtrag_0208bf26ec357a803445290fa88a2e9e_turn_6_step_1,0208bf26ec357a803445290fa88a2e9e_turn_6,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.0002164,0.0100428,0.009826399999999999,True
mtrag_04f83f1199c7ce4d7bef50be70f2db73_turn_2_step_1,04f83f1199c7ce4d7bef50be70f2db73_turn_2,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.00028960000000000005,0.0123852,0.012095600000000001,True
mtrag_04f83f1199c7ce4d7bef50be70f2db73_turn_3_step_1,04f83f1199c7ce4d7bef50be70f2db73_turn_3,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.0002426,0.0108812,0.0106386,True
mtrag_0ef145e49938dfb9b6eefe781d21dca8_turn_1_step_1,0ef145e49938dfb9b6eefe781d21dca8_turn_1,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.00024730000000000005,0.0110316,0.0107843,True
mtrag_0ef145e49938dfb9b6eefe781d21dca8_turn_5_step_1,0ef145e49938dfb9b6eefe781d21dca8_turn_5,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.00036580000000000006,0.0148236,0.0144578,True
mtrag_0ef145e49938dfb9b6eefe781d21dca8_turn_7_step_1,0ef145e49938dfb9b6eefe781d21dca8_turn_7,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.0004065,0.016125999999999998,0.015719499999999997,True
mtrag_124e27c3861eff7dadd17993719a0beb_turn_1_step_1,124e27c3861eff7dadd17993719a0beb_turn_1,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.0002618,0.0114956,0.0112338,True
mtrag_13a398b30067d58d179fa8cbc2592449_turn_1_step_1,13a398b30067d58d179fa8cbc2592449_turn_1,1,low,low,,start,False,mtrag,rag_multiturn,0.8,low,0,True,0.00022,0.010158,0.009938,True
mtrag_13a398b30067d58d179fa8cbc2592449_turn_2_step_1,13a398b30067d58d179fa8cbc2592449_turn_2,1,mid,mid,,start,False,mtrag,rag_multiturn,0.8,mid,1,True,0.0008041500000000001,0.0095468,0.00874265,True
